char_name,play_rate_1,play_rate_2,play_rate_4,play_rate_5,play_rate_6,play_rate_7,play_rate_8,play_rate_9,play_rate_10,play_rate_99
sol,0.16666666666666666,0.0,0.05025996533795494,0.08751182592242195,0.07940663176265271,0.0869414014953921,0.08704137392661983,0.0901323226278343,0.08995797835597513,0.07810437384493532
ky,0.0,0.0,0.05979202772963605,0.0988647114474929,0.09598603839441536,0.12806468440271257,0.12088212334113974,0.13837356207194626,0.1161639419755929,0.09497931884185515
may,0.0,0.0,0.06759098786828423,0.0804162724692526,0.0548283885980221,0.046339766997043993,0.04886807181889149,0.052264113305405945,0.046065507713562055,0.0542330370500748
axl,0.0,0.0,0.033795493934142114,0.025070955534531692,0.02617801047120419,0.027560424274039298,0.022794691647150665,0.027262450960835162,0.0357471793690997,0.04312241485523189
chipp,0.16666666666666666,0.0,0.08145580589254767,0.05203405865657521,0.0636998254799302,0.046339766997043993,0.04898516783762685,0.040527960635680566,0.042554110062169005,0.05999735985215172
potemkin,0.0,0.0,0.032062391681109186,0.03736991485335856,0.05846422338568935,0.07024865240827682,0.08536299765807963,0.08218631557949332,0.07460280911812112,0.06470562351491684
faust,0.0,0.0,0.0684575389948007,0.04966887417218543,0.038394415357766144,0.052947313510693796,0.05940671350507416,0.048207992552696324,0.046065507713562055,0.026049458769691104
millia,0.0,0.42857142857142855,0.06672443674176777,0.046357615894039736,0.07344386271087842,0.052251782298730655,0.056791569086651054,0.056652702972272095,0.054297144830762145,0.06813781571768018
zato,0.0,0.0,0.024263431542461005,0.052980132450331126,0.04072134962187318,0.0452095287776039,0.04449648711943794,0.04082718265842144,0.038841238775040296,0.04321041978350788
ramlethal,0.16666666666666666,0.0,0.15424610051993068,0.1239356669820246,0.10194880744618964,0.09902625630325161,0.06826697892271663,0.06529689474034178,0.06378079668431959,0.0654096629411247
leo,0.0,0.0,0.019064124783362217,0.05392620624408704,0.050319953461314716,0.03834115805946792,0.047853239656518345,0.045548241239444114,0.04913078517154041,0.03810613394350083
nagoriyuki,0.0,0.0,0.03119584055459272,0.04872280037842952,0.07737056428155904,0.05764214919144497,0.06850117096018736,0.08278475962497507,0.09112364724844578,0.10822406054739066
giovanna,0.16666666666666666,0.5,0.17590987868284227,0.12346263008514664,0.10034904013961606,0.11276299773952356,0.07888368462138953,0.07128133519515925,0.06549332258807276,0.054145032121798824
anji,0.0,0.0,0.011265164644714038,0.01892147587511826,0.03170447934845841,0.037732568249000176,0.03992974238875878,0.0541924330075138,0.056167971448307624,0.05724720584352724
i-no,0.0,0.07142857142857142,0.05545927209705372,0.06054872280037843,0.05133798720186155,0.04790471222396105,0.05663544106167057,0.051798656825586806,0.04835367257655998,0.06320953973422512
goldlewis,0.16666666666666666,0.0,0.03552859618717504,0.012771996215704825,0.018470040721349622,0.015388628064684403,0.03208430913348946,0.029224017554358668,0.05334734054800829,0.0494807709231717
jack-o,0.16666666666666666,0.0,0.03292894280762565,0.027436140018921477,0.03737638161721931,0.0352982090071292,0.03321623731459797,0.023439058448035108,0.028307045820861156,0.031637771715216055
